0;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;110000;120000;130000;140000;150000;160000;170000;180000;190000;200000;210000;220000;230000;240000;250000;260000;270000;280000;290000;300000;310000;320000;330000;340000;350000;360000;370000;380000;390000;400000;410000;420000;430000;440000;450000;460000;470000;480000;490000;500000;510000;520000;530000;540000;550000;560000;570000;580000;590000;600000;610000;620000;630000;640000;650000;660000;670000;680000;690000;700000;710000;720000;730000;740000;750000;760000;770000;780000;790000;800000;810000;820000;830000;840000;850000;860000;870000;880000;890000;900000;910000;920000;930000;940000;950000;960000;970000;980000;990000;1000000;1010000;1020000;1030000;1040000;1050000;1060000;1070000;1080000;1090000;1100000;1110000;1120000;1130000;1140000;1150000;1160000;1170000;1180000;1190000;1200000;1210000;1220000;1230000;1240000;1250000;1260000;1270000;1280000;1290000;1300000;1310000;1320000;1330000;1340000;1350000;1360000;1370000;1380000;1390000;1400000;1410000;1420000;1430000;1440000;1450000;1460000;1470000;1480000;1490000;1500000;1510000;1520000;1530000;1540000;1550000;1560000;1570000;1580000;1590000;1600000;1610000;1620000;1630000;1640000;1650000;1660000;1670000;1680000;1690000;1700000;1710000;1720000;1730000;1740000;1750000;1760000;1770000;1780000;1790000;1800000;1810000;1820000;1830000;1840000;1850000;1860000;1870000;1880000;1890000;1900000;1910000;1920000;1930000;1940000;1950000;1960000;1970000;1980000;1990000;2000000
25989;23304;22175;20784;20784;18119;18119;18119;18119;16389;15976;15826;15826;15695;14808;13844;13844;13735;13735;13654;13335;13335;12052;12052;11805;11805;11047;11047;11047;11047;11047;11047;11047;11047;11047;11047;10704;10704;10704;10704;10704;10543;10543;10543;10543;10543;10543;10543;10205;10205;10205;10205;10205;10205;9353;9353;9353;9353;9353;9353;9353;9166;9166;9166;9166;9166;9166;9166;9166;9166;9151;9151;9151;9151;9151;9151;9151;9151;8918;8918;8918;8918;8918;8918;8918;8918;8918;8918;8918;8918;8918;8900;8900;8900;8900;8900;8900;8900;8900;8900;8900;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8269;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;8249;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7983;7889;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800;7800
27429;23842;20770;20770;20282;20269;17097;15689;15689;15689;15689;14124;14124;14124;14124;14124;14124;14124;14124;14029;14029;14029;12861;12861;12861;12581;12581;11670;11540;11540;11540;11540;10739;10739;10739;10739;10739;10449;10449;10449;10449;10449;10449;10449;10449;10449;10179;10179;10179;10179;10179;10179;10179;10179;10179;10179;10179;10179;10056;10056;10056;10056;10056;9616;9616;9616;9616;9616;9616;9616;9143;9143;9143;9143;9143;9143;9143;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8664;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8575;8410;8410;8410;8410;8410;8410;8410;8410;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8331;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;8101;7976;7976;7855;7855;7855;7855;7855;7855;7855;7666
28418;27519;24537;22729;21995;19687;18546;18546;17626;16148;16148;16049;14668;13637;13637;13637;13599;13599;13340;13340;12428;11693;11693;11693;10850;10850;10850;10533;10533;10533;10533;10533;10533;10533;10533;10533;10533;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;9688;8972;8972;8972;8972;8972;8972;8963;8963;8963;8963;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8897;8614;8614;8614;8614;8614;8614;8614;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8262;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;8074;7637;7637;7637;7637;7637;7637;7637;7637;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284;7284
29276;24275;21162;19628;19628;16969;16919;15988;15988;15988;14798;13825;13253;13253;12420;11740;11740;11740;11740;11740;11740;11017;10973;10973;10973;10973;10973;10973;10973;10973;10973;10973;10973;10614;10614;10614;10256;10113;10113;10113;10113;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8557;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;8049;7593;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563;7563
27200;25226;23074;21313;21259;21209;20260;20260;18184;18128;18128;15507;15507;14190;14190;14190;14190;13144;13144;12685;12685;12685;12685;12508;12435;12435;11513;11513;11513;11513;11235;11235;11235;11235;11235;11235;11235;11235;11235;11235;11235;11235;10845;10845;10845;10845;10845;10845;10845;10845;10598;10598;10403;10403;10403;10403;10403;10403;10391;10391;10391;10391;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;9247;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8351;8277;8277;8277;8277;8277;8277;8277;8277;8277;8084;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941;7941
28925;24780;24780;21710;20030;18951;18951;18196;16971;16971;16851;15709;15709;15709;15709;13315;13315;13315;13315;13315;13315;12788;12250;12250;12250;12250;11069;11069;11069;11069;10845;10317;10317;10317;10317;10317;10317;10317;10317;10243;10243;10243;10243;10243;10243;9889;9889;9889;9889;9889;9889;9889;9482;9482;9482;9482;9482;9482;9482;9245;9245;9198;9198;9198;8702;8702;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8687;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8345;8295;8295;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060;8060
27000;25521;22732;22293;21276;19896;18164;18080;16973;16973;16973;13424;13424;13424;13012;13012;13012;12443;12443;12443;12443;11422;10846;10846;10846;10846;10846;10753;10753;10753;10753;10753;10753;10019;10019;10019;10019;9499;9499;9499;9499;9354;9354;9292;9292;9292;9292;9075;9075;9075;9075;9075;9070;9070;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8265;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;8104;7735;7735;7735;7735;7735;7735;7735;7589;7589;7589;7589;7589;7589;7589;7589;7406;7406;7406;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403;7403
27740;23696;21802;21802;19707;19707;18091;17382;15879;15552;14043;14043;14043;14043;13897;13897;13897;13640;13640;13640;11633;11633;11633;11633;11558;11558;11558;11558;11558;11558;10802;10802;10802;10802;10802;10802;10600;10600;10419;10419;10419;10419;10419;10419;10419;10419;10419;10419;10419;10419;10419;9551;9551;9551;9551;9551;9551;9551;9551;9551;9551;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8837;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8684;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8469;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8436;8241;8241;8241;8241;8241;8150;8150;8150;8150;8150;8150;8150;8150;8150;8150
29417;24437;24437;22683;19264;18849;17706;17486;16195;16195;16195;15451;15451;15451;15451;15451;14165;14119;14119;14119;14119;13516;13022;12690;12547;12547;12547;12547;12547;12100;12100;12100;12100;11907;11523;11523;11523;10549;10549;10549;10549;10549;10549;10549;10171;10171;10171;10171;10171;10171;10171;10171;10171;10171;10171;9986;9986;9986;9986;9986;9986;9986;9310;9310;9310;9310;9310;9310;9007;9007;9007;9007;9007;9007;9007;9007;9007;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8709;8299;8299;8299;8299;8299;8299;8299;8299;8299;8299;8299;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8250;8176;8176;8176;7796;7796;7796;7796;7796;7796;7796;7796;7796;7796;7796;7661;7661;7661;7661;7661;7661
29584;23877;21903;20115;19466;19466;19466;16148;16148;15465;14558;13614;13614;13171;13171;13171;12091;12091;12091;12091;12091;11925;11925;11925;11925;11923;11923;11923;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;10021;9877;9877;9877;9006;9006;9006;9006;9006;9006;9006;9006;9006;9006;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8691;8559;8385;8385;8385;8385;8385;8385;8385;8385;8385;8385;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7936;7884;7884;7884;7884;7884;7884;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7531;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525;7525
31863;22027;21486;20692;18271;17440;16884;16884;14990;14372;14372;13640;13640;13544;12265;12265;11860;11860;11860;11860;11860;11860;11860;11860;11860;11860;11860;11732;11732;10591;10591;10591;10591;10591;10591;10087;10087;10087;10087;10087;10087;10087;9631;9631;9631;9631;9631;9631;9631;9631;9443;9443;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9172;9072;9072;9072;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8387;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164;8164
27367;23177;21486;19227;17313;17313;16887;16887;15671;13902;13823;13570;13570;13570;13570;12863;12863;12847;12847;12847;12847;11666;11666;11666;11237;11237;10776;9918;9918;9918;9918;9918;9918;9542;9542;9542;9542;9542;9542;9542;9542;9542;9533;9533;9421;9421;9421;9328;9328;9328;8818;8818;8818;8818;8706;8706;8706;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8464;8433;8433;8433;8433;8433;8159;8159;8159;8159;8159;8159;8159;8159;8159;8159;8159;8159;8159;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;8107;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7899;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464;7464
